Y,age35_twogrid,local_threegrid,people_threegrid,rich1_threegrid,road,internetj1500,entertainmentj1000,residentialj1000,atmj1500,hospitalj1500,non_local_twogrid,age25_threegrid
0,0,1,196,0,24.85069305,1,0,3,2,0,0,0
0,0,0.636363636,539,0,25.0528135,1,0,13,2,0,0.363636364,0.363636364
0,0.285714286,0.571428571,2401,0,25.19201191,1,0,16,2,0,0.428571429,0.285714286
0,0.21875,0.65625,1568,0,25.28481064,1,0,16,2,0,0.34375,0.21875
0,0,1,196,0,25.31901245,1,0,15,8,1,0,0
0,0.111111111,0.583333333,1764,0,27.16013779,2,1,15,8,1,0.305555556,0.305555556
0,0,0.636363636,539,0,30.41421906,2,1,18,12,1,0.363636364,0.636363636
0,0,0.5,392,0,31.66372002,2,2,16,12,1,0.5,0
0,0,0.333333333,1029,0,32.87071777,2,2,10,12,1,0.666666667,0.523809524
0,0.198113208,0.599056604,10388,0,33.82378586,2,2,5,12,1,0.367924528,0.264150943
0,0.171428571,0.6,5145,0,34.27636597,2,2,5,12,1,0.4,0.4
0,0.137931034,0.137931034,1421,0,34.64524803,2,2,4,12,1,0.862068966,0.24137931
0,0,1,343,0,34.7444838,2,2,4,12,1,0,0
0,0,0,196,0,34.66030212,2,2,4,10,1,1,0
0,0.5,0.5,392,0,34.64754517,2,1,4,10,1,0.5,0
0,0,1,196,0,35.09184814,1,0,0,4,1,0,0
0,0.19047619,0.666666667,1029,0,35.66681442,1,0,0,4,0,0.333333333,0.19047619
0,0,0,196,0,36.35075775,0,0,0,0,0,1,0
0,0,0,196,0,36.84495911,0,0,0,0,0,1,0
0,0,0,196,0,37.66543076,0,0,0,0,0,1,0
0,0,0,686,0,38.01651535,0,0,0,0,0,1,0
0,0,0,539,0,24.60063927,1,0,4,2,0,1,0.636363636
0,0.5,0.5,392,0,24.90604187,1,0,18,2,0,0.5,0.5
0,0.5,0.5,686,0,25.16567012,1,0,19,2,0,0.5,0.285714286
0,0,0.5,1078,0,25.30429197,1,0,18,2,0,0.5,0.181818182
0,0.053333333,0.613333333,3675,0,25.31401505,2,0,18,6,0,0.333333333,0.333333333
0,0.257142857,0.9,3430,0,25.30241447,2,0,15,10,1,0.1,0.357142857
0,0.304347826,0.913043478,2254,0,26.87339577,3,1,16,10,1,0.086956522,0.391304348
0,0.222222222,0.388888889,882,0,30.45290657,2,1,18,13,1,0.611111111,0.388888889
0,0,1,196,0,32.05230072,2,2,20,15,1,0,1
0,0.179487179,0.726495726,5733,0,33.54624374,2,2,14,15,2,0.213675214,0.213675214
0,0.026119403,0.630597015,13132,0,34.45279419,2,2,5,15,2,0.354477612,0.130597015
0,0.01487779,0.696068013,46109,0,34.90345027,2,2,5,15,2,0.292242295,0.120085016
0,0.201257862,0.666666667,7791,0,35.04730545,2,2,5,15,2,0.308176101,0.201257862
0,0.152173913,0.304347826,2254,0,34.76359711,2,2,4,15,2,0.543478261,0.086956522
0,0,0.266666667,735,0,34.45887222,2,2,4,14,2,0.733333333,0.733333333
0,0,0,196,0,34.29297989,2,1,6,10,1,1,0
0,0,0,196,0,34.37992584,2,1,2,10,1,1,0
0,0,0,343,0,34.79629257,1,0,0,5,1,1,0.571428571
0,0,0.363636364,539,0,35.56583435,1,0,0,4,0,0.636363636,0
0,0,1,343,0,36.24414932,0,0,0,0,0,0,1
0,0,0,196,0,37.44336105,0,0,0,0,0,1,0
0,0.161034847,0.636363636,539,0,24.4943586,1,1,9,2,0,0.329461457,0.363636364
0,0.165228645,0.5,392,0,24.7111264,1,1,19,2,0,0.321397757,0
0,0.174384949,1,196,0,25.04378258,1,1,20,2,0,0.310057887,0
0,0.180916031,0.71875,3136,0,25.2717093,1,1,20,2,0,0.284478372,0.328125
0,0.193869732,0.754716981,7791,0,25.20264593,2,1,20,8,0,0.252490421,0.377358491
0,0.187056038,0.821646341,32144,0,25.19447838,2,0,23,10,1,0.252565114,0.327743902
