Y,tid,age25_250,age25_onegrid,age25_threegrid,age25_twogrid,age35_250,age35_onegrid,age35_threegrid,age35_twogrid,atmj1000,atmj1500,atmj250,atmj500,atmj750,local_250,local_onegrid,local_threegrid,local_twogrid,non_local_250,non_local_onegrid,non_local_threegrid,non_local_twogrid,people_250,people_onegrid,people_threegrid,people_twogrid,rich1_250,rich1_onegrid,rich1_threegrid,rich1_twogrid,路网可达性,网吧j1000,网吧j1500,网吧j250,网吧j500,网吧j750,医院j1000,医院j1500,医院j250,医院j500,医院j750,娱乐场所j1000,娱乐场所j1500,娱乐场所j250,娱乐场所j500,娱乐场所j750,住宅区j1000,住宅区j1500,住宅区j250,住宅区j500,住宅区j750
0,70,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,1,1,0,0,0,0,4,36,196,100,0,0,0,0,24.85069305,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3,24,0,3,3
0,71,0.363636364,0.363636364,0.363636364,0.363636364,0,0,0,0,0,2,0,0,0,0.636363636,0.636363636,0.636363636,0.636363636,0.363636364,0.363636364,0.363636364,0.363636364,11,99,539,275,0,0,0,0,25.0528135,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,13,22,0,0,3
0,72,0.285714286,0.285714286,0.285714286,0.285714286,0.285714286,0.285714286,0.285714286,0.285714286,0,2,0,0,0,0.571428571,0.571428571,0.571428571,0.571428571,0.428571429,0.428571429,0.428571429,0.428571429,49,441,2401,1225,0,0,0,0,25.19201191,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,16,24,0,0,9
0,73,0.21875,0.21875,0.21875,0.21875,0.21875,0.21875,0.21875,0.21875,0,2,0,0,0,0.65625,0.65625,0.65625,0.65625,0.34375,0.34375,0.34375,0.34375,32,288,1568,800,0,0,0,0,25.28481064,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,16,24,0,7,10
0,75,0,0,0,0,0,0,0,0,0,8,0,0,0,1,1,1,1,0,0,0,0,4,36,196,100,0,0,0,0,25.31901245,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,15,27,5,8,13
0,76,0.305555556,0.305555556,0.305555556,0.305555556,0.111111111,0.111111111,0.111111111,0.111111111,5,8,0,0,0,0.583333333,0.583333333,0.583333333,0.583333333,0.305555556,0.305555556,0.305555556,0.305555556,36,324,1764,900,0,0,0,0,27.16013779,1,2,0,0,0,0,1,0,0,0,1,2,0,0,0,15,27,0,7,11
0,77,0.636363636,0.636363636,0.636363636,0.636363636,0,0,0,0,5,12,0,0,1,0.636363636,0.636363636,0.636363636,0.636363636,0.363636364,0.363636364,0.363636364,0.363636364,11,99,539,275,0,0,0,0,30.41421906,1,2,0,0,1,1,1,0,0,0,1,2,0,0,1,18,22,0,5,10
0,78,0,0,0,0,0,0,0,0,6,12,0,1,5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,8,72,392,200,0,0,0,0,31.66372002,2,2,0,1,1,1,1,0,0,1,2,2,0,1,1,16,22,0,0,7
0,79,0.523809524,0.523809524,0.523809524,0.523809524,0,0,0,0,8,12,1,5,6,0.333333333,0.333333333,0.333333333,0.333333333,0.666666667,0.666666667,0.666666667,0.666666667,21,189,1029,525,0,0,0,0,32.87071777,2,2,1,1,2,1,1,0,1,1,2,2,1,1,2,10,20,0,2,4
0,80,0.264150943,0.264150943,0.264150943,0.264150943,0.198113208,0.198113208,0.198113208,0.198113208,10,12,1,5,8,0.599056604,0.599056604,0.599056604,0.599056604,0.367924528,0.367924528,0.367924528,0.367924528,212,1908,10388,5300,0,0,0,0,33.82378586,2,2,1,2,2,1,1,1,1,1,2,2,1,2,2,5,20,2,4,4
0,81,0.4,0.4,0.4,0.4,0.171428571,0.171428571,0.171428571,0.171428571,10,12,1,7,8,0.6,0.6,0.6,0.6,0.4,0.4,0.4,0.4,105,945,5145,2625,0,0,0,0,34.27636597,2,2,1,2,2,1,1,1,1,1,2,2,1,2,2,5,14,2,4,4
0,82,0.24137931,0.24137931,0.24137931,0.24137931,0.137931034,0.137931034,0.137931034,0.137931034,10,12,0,3,10,0.137931034,0.137931034,0.137931034,0.137931034,0.862068966,0.862068966,0.862068966,0.862068966,29,261,1421,725,0,0,0,0,34.64524803,2,2,1,2,2,1,1,1,1,1,2,2,1,2,2,4,9,2,4,4
0,83,0,0,0,0,0,0,0,0,10,12,0,2,6,1,1,1,1,0,0,0,0,7,63,343,175,0,0,0,0,34.7444838,2,2,1,1,2,1,1,0,1,1,2,2,1,1,2,4,8,0,4,4
0,84,0,0,0,0,0,0,0,0,10,10,0,2,2,0,0,0,0,1,1,1,1,4,36,196,100,0,0,0,0,34.66030212,2,2,0,1,1,1,1,0,0,1,2,2,0,1,1,4,8,0,0,4
0,85,0,0,0,0,0.5,0.5,0.5,0.5,4,10,0,0,2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,8,72,392,200,0,0,0,0,34.64754517,1,2,0,0,1,1,1,0,0,0,1,2,0,0,1,4,7,0,0,0
0,87,0,0,0,0,0,0,0,0,0,4,0,0,0,1,1,1,1,0,0,0,0,4,36,196,100,0,0,0,0,35.09184814,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,7,0,0,0
0,88,0.19047619,0.19047619,0.19047619,0.19047619,0.19047619,0.19047619,0.19047619,0.19047619,0,4,0,0,0,0.666666667,0.666666667,0.666666667,0.666666667,0.333333333,0.333333333,0.333333333,0.333333333,21,189,1029,525,0,0,0,0,35.66681442,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0
0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,4,36,196,100,0,0,0,0,36.35075775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,4,36,196,100,0,0,0,0,36.84495911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,4,36,196,100,0,0,0,0,37.66543076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
